"","TCGA-AH-6544-01A-11R-1830-07","TCGA-AH-6547-01A-11R-1830-07","TCGA-AH-6549-01A-11R-1830-07","TCGA-AH-6644-01A-21R-1830-07","TCGA-CL-4957-01A-01R-1736-07","TCGA-EI-6510-01A-11R-1736-07","TCGA-EI-7004-01A-11R-1928-07","TCGA-G5-6233-01A-11R-1736-07","TCGA-G5-6572-01A-11R-1830-07","TCGA-AF-2691-01A-01R-0821-07","TCGA-AF-2693-01A-02R-1736-07","TCGA-AF-5654-01A-01R-1660-07","TCGA-AG-3580-01A-01R-0821-07","TCGA-AG-3581-01A-01R-0821-07","TCGA-AG-3587-01A-01R-0821-07","TCGA-AG-3599-01A-02R-0826-07","TCGA-AG-3726-01A-02R-0905-07","TCGA-AG-3732-01A-11R-1660-07","TCGA-AG-3742-01A-11R-1660-07","TCGA-AG-3878-01A-02R-0905-07","TCGA-AG-3882-01A-01R-0905-07","TCGA-AG-3883-01A-02R-0905-07","TCGA-AG-3890-01A-01R-1119-07","TCGA-AG-3892-01A-01R-1119-07","TCGA-AG-3896-01A-01R-1119-07","TCGA-AG-A002-01A-01R-A002-07","TCGA-AG-A008-01A-01R-A002-07","TCGA-AG-A014-01A-02R-A002-07","TCGA-AG-A015-01A-01R-A002-07","TCGA-AG-A025-01A-01R-A00A-07","TCGA-AG-A02X-01A-01R-A00A-07","TCGA-AH-6897-01A-11R-1928-07","TCGA-CI-6623-01B-11R-1830-07","TCGA-CI-6624-01C-11R-1830-07","TCGA-DC-4749-01A-01R-1736-07","TCGA-DC-5337-01A-01R-1660-07","TCGA-DC-6157-01A-11R-1660-07","TCGA-DC-6158-01A-11R-1660-07","TCGA-DC-6160-01A-11R-1660-07","TCGA-AG-3574-01A-01R-0821-07","TCGA-AG-3575-01A-01R-0821-07","TCGA-AG-4022-01A-01R-1736-07","TCGA-AG-A01W-01A-21R-A083-07","TCGA-AG-A01Y-01A-41R-A083-07","TCGA-AG-A026-01A-01R-A00A-07","TCGA-AG-A02N-01A-11R-A083-07","TCGA-DT-5265-01A-21R-1830-07","TCGA-AF-2692-01A-01R-0821-07","TCGA-AF-3400-01A-01R-0821-07","TCGA-AF-A56K-01A-32R-A39D-07","TCGA-AF-A56N-01A-12R-A39D-07","TCGA-AG-3578-01A-01R-0821-07","TCGA-AG-3591-01A-01R-1736-07","TCGA-AG-3592-01A-02R-1736-07","TCGA-AG-3593-01A-01R-0821-07","TCGA-AG-3594-01A-02R-0821-07","TCGA-AG-3598-01A-01R-0826-07","TCGA-AG-3608-01A-01R-0826-07","TCGA-AG-3611-01A-01R-0826-07","TCGA-AG-3881-01A-01R-0905-07","TCGA-AG-3887-01A-01R-1119-07","TCGA-AG-3894-01A-01R-1119-07","TCGA-AG-3898-01A-01R-1119-07","TCGA-AG-3902-01A-01R-A32Z-07","TCGA-AG-4001-01A-02R-1119-07","TCGA-AG-4008-01A-01R-1119-07","TCGA-AG-4015-01A-01R-1119-07","TCGA-AG-A00H-01A-01R-A00A-07","TCGA-AG-A00Y-01A-02R-A002-07","TCGA-AG-A011-01A-01R-A002-07","TCGA-AG-A01J-01A-01R-A00A-07","TCGA-CL-5918-01A-11R-1660-07","TCGA-DC-6682-01A-11R-1830-07","TCGA-DY-A0XA-01A-11R-A155-07","TCGA-DY-A1DC-01A-31R-A155-07","TCGA-DY-A1DE-01A-11R-A155-07","TCGA-EF-5831-01A-01R-1660-07","TCGA-EI-6506-01A-11R-1736-07","TCGA-EI-6507-01A-11R-1736-07","TCGA-EI-6514-01A-11R-1736-07","TCGA-EI-6882-01A-11R-1928-07","TCGA-F5-6465-01A-11R-1736-07","TCGA-F5-6571-01A-12R-1830-07","TCGA-F5-6811-01A-11R-1830-07","TCGA-F5-6812-01A-11R-1830-07","TCGA-F5-6814-01A-31R-1928-07","TCGA-F5-6861-01A-11R-1928-07","TCGA-CI-6622-01A-11R-1830-07","TCGA-EF-5830-01A-01R-1660-07","TCGA-EI-6883-01A-31R-1928-07","TCGA-AG-3586-01A-02R-0821-07","TCGA-AG-3725-01A-11R-1736-07","TCGA-AG-3727-01A-01R-0905-07","TCGA-AG-A020-01A-21R-A083-07","TCGA-AG-A036-01A-12R-A083-07","TCGA-AF-6655-01A-11R-1830-07","TCGA-DC-6155-01A-11R-1660-07","TCGA-DY-A1H8-01A-21R-A155-07","TCGA-EI-6881-01A-11R-A32Z-07","TCGA-EI-6884-01A-11R-1928-07","TCGA-EI-6917-01A-11R-1928-07","TCGA-G5-6641-01A-11R-A32Z-07","TCGA-AF-6136-01A-11R-1830-07","TCGA-AG-3601-01A-01R-0826-07","TCGA-AG-3612-01A-01R-0826-07","TCGA-AG-3728-01A-01R-0905-07","TCGA-AG-3885-01A-01R-0905-07","TCGA-AG-3893-01A-01R-1119-07","TCGA-AG-3901-01A-01R-1119-07","TCGA-AG-3909-01A-01R-1119-07","TCGA-AG-A00C-01A-01R-A002-07","TCGA-AG-A01L-01A-01R-A002-07","TCGA-AG-A032-01A-01R-A00A-07","TCGA-AH-6903-01A-11R-1928-07","TCGA-BM-6198-01A-11R-1736-07","TCGA-CI-6621-01A-11R-1830-07","TCGA-DC-4745-01A-01R-A32Z-07","TCGA-DC-5869-01A-01R-1660-07","TCGA-DC-6683-01A-11R-1830-07","TCGA-DY-A1DD-01A-21R-A155-07","TCGA-EI-6508-01A-11R-1736-07","TCGA-EI-6511-01A-11R-1736-07","TCGA-EI-6512-01A-11R-1736-07","TCGA-EI-6513-01A-21R-1736-07","TCGA-F5-6863-01A-11R-1928-07","TCGA-F5-6864-01A-11R-1928-07","TCGA-G5-6235-01A-11R-1736-07","TCGA-AF-2687-01A-02R-1736-07","TCGA-AF-2690-01A-02R-1736-07","TCGA-AF-3911-01A-01R-1736-07","TCGA-AF-A56L-01A-31R-A39D-07","TCGA-AG-3600-01A-01R-0826-07","TCGA-AG-3602-01A-02R-0826-07","TCGA-AG-3609-01A-02R-0826-07","TCGA-AG-3999-01A-01R-1119-07","TCGA-AH-6643-01A-11R-1830-07","TCGA-CL-5917-01A-11R-1660-07","TCGA-DY-A1DF-01A-11R-A155-07","TCGA-EI-6509-01A-11R-1736-07","TCGA-F5-6464-01A-11R-1736-07","TCGA-F5-6813-01A-11R-1830-07","TCGA-AF-3913-01A-02R-1119-07","TCGA-AF-6672-01A-11R-1830-07","TCGA-AG-3582-01A-01R-0821-07","TCGA-AG-3583-01A-01R-0821-07","TCGA-AG-3584-01A-01R-0821-07","TCGA-AG-3605-01A-01R-0826-07","TCGA-AG-3731-01A-11R-1736-07","TCGA-AG-4005-01A-01R-1119-07","TCGA-AG-4007-01A-01R-1119-07","TCGA-AG-4021-01A-01R-1736-07","TCGA-AG-A016-01A-01R-A002-07","TCGA-AG-A01N-01A-01R-A00A-07","TCGA-AG-A023-01A-01R-A00A-07","TCGA-AG-A02G-01A-01R-A00A-07","TCGA-CI-6619-01B-11R-1830-07","TCGA-EI-6885-01A-11R-1928-07","TCGA-EI-7002-01A-11R-1928-07","TCGA-AF-4110-01A-02R-1736-07","TCGA-CI-6620-01A-11R-1830-07","TCGA-DC-6154-01A-31R-1928-07","TCGA-DC-6156-01A-11R-1660-07","TCGA-DC-6681-01A-11R-A32Z-07","TCGA-DY-A1DG-01A-11R-A32Y-07","TCGA-F5-6702-01A-11R-1830-07"
"ZNF211",1.9276,4.6162,4.325,5.0994,1.8016,4.6088,8.7517,2.4352,3.1065,3.7223,3.7092,1.9588,2.7697,2.8157,3.6871,3.5853,1.6828,10.5629,2.9483,2.4864,3.1103,1.4141,4.135,3.3382,3.8693,10.1612,5.4235,3.8538,4.4025,3.4833,2.971,1.4407,2.3354,2.972,2.5283,2.0967,4.9675,8.2066,4.6556,3.2229,9.1842,4.431,2.6398,7.589,3.7838,5.1136,5.8703,4.4218,4.1564,5.9709,3.4233,12.4979,4.8696,3.5459,7.8595,3.9398,1.8935,3.567,6.0112,1.3596,2.4627,4.6727,3.408,3.5817,5.3361,4.606,3.3329,1.9129,4.051,2.6523,3.9382,2.1994,6.9438,7.5146,2.6288,8.124,5.7138,4.5727,5.4963,3.1505,3.9499,5.1417,6.2853,4.1485,5.3837,7.8136,6.6022,4.2573,2.2713,4.6267,4.677,2.8738,2.4334,2.1425,3.5307,3.8566,0.8454,8.1762,4.8444,7.5272,7.5593,5.9787,7.8897,2.0645,2.9923,4.0379,2.1441,3.695,5.4401,3.4173,3.6661,5.5874,4.144,5.6119,1.9755,4.5568,2.6684,3.352,4.0758,5.7175,3.7526,2.2358,4.5184,5.1024,7.8453,10.1464,2.2997,7.1143,3.3669,3.5413,5.5811,2.1989,2.0553,6.2049,5.2956,6.1655,3.9153,4.5227,7.1082,4.991,5.3908,5.5697,9.5861,1.9227,3.4605,3.2622,2.1252,3.9846,5.2307,2.9544,7.0709,2.9029,3.3706,2.1673,4.9679,4.1829,10.4234,4.6468,3.1559,3.4121,5.3345,9.623,3.954,3.8288,4.5262
"RNF2",17.9277,13.2629,22.5867,31.0498,15.6879,19.7216,22.0172,20.6631,25.4735,12.435,14.0301,14.317,17.7516,9.4928,18.9478,12.1268,2.9089,26.1005,17.6477,5.6503,5.2959,6.6565,7.5407,13.7372,12.5975,10.8865,10.8273,4.3359,13.2221,9.2522,5.0628,17.0035,20.5218,19.0296,23.0665,18.829,22.0841,21.7179,25.9421,10.3303,39.8897,14.5153,20.3418,25.8213,14.7506,15.1849,15.5186,19.0289,13.8751,13.4742,17.1635,26.5766,32.1863,15.7554,18.5309,11.5626,17.0329,10.255,19.6973,8.3576,10.7506,15.5172,8.4915,15.425,12.3447,14.0221,13.5237,9.1995,10.2512,9.367,5.0412,11.0377,39.1874,13.9035,16.1478,34.4942,37.3472,16.7019,36.5735,11.3546,40.8564,20.4296,13.5205,25.2074,13.5866,19.3159,18.3721,17.2869,18.2196,8.2745,16.3079,14.6524,4.3685,11.5366,15.974,14.9877,5.145,35.29,14.883,21.7301,21.4095,18.9861,16.4288,11.9342,11.9672,5.6438,5.6233,15.713,20.3814,9.5788,7.6407,9.4169,8.1736,23.7731,16.5071,20.9465,17.5445,22.3014,26.9074,9.7777,23.9426,12.9838,12.0463,17.68,15.68,20.5233,16.6809,28.768,16.8426,18.9738,11.9855,13.2028,11.2639,21.8837,20.6539,32.8023,25.7222,5.6667,14.7205,20.3004,20.8476,11.7981,32.9161,15.6697,12.3886,11.8764,11.0019,20.3849,14.9821,10.9691,34.4823,7.0714,10.0417,14.8217,19.9814,17.1965,17.8857,23.6449,13.0693,16.36,18.3031,35.5636,21.5623,18.2371,22.8112
"SEC22A",7.3532,5.3978,4.7773,4.8136,6.6916,7.3093,7.6161,6.0373,4.3559,6.5032,7.1944,3.5695,6.6818,5.574,6.357,5.9527,2.4481,7.5384,5.3952,2.5424,2.9437,3.6987,4.8544,7.9575,6.9072,7.3714,8.226,5.1433,4.7361,4.5224,6.0461,6.4467,9.1553,6.1216,9.0524,8.6974,7.945,7.0465,7.0611,5.4522,18.9891,7.7409,10.8803,6.7489,4.8118,8.0062,5.6931,6.1026,5.2643,4.7389,8.0606,6.4276,8.5273,6.6001,9.8204,5.2577,11.3083,7.9535,9.7487,2.9494,6.4602,6.3917,6.7677,5.9363,6.5683,8.5678,6.5761,5.811,6.6205,6.1244,4.8276,5.3776,11.2766,7.2703,9.5637,8.6502,7.3273,5.4815,8.1534,5.7687,7.7866,6.0987,5.7168,9.0607,5.5809,8.0463,7.2713,6.4546,4.9519,8.932,7.019,6.6997,2.7096,9.3366,7.646,9.7067,6.3004,6.8051,9.2261,7.6049,8.8316,5.9569,7.1368,7.73,8.7939,2.4716,3.1008,7.5344,7.9823,4.8717,6.651,5.6588,4.8174,8.4042,3.9303,7.3518,10.321,11.5327,6.4186,5.1217,7.5213,4.8907,5.7911,8.9647,9.4959,9.6652,6.0387,9.5372,6.6415,8.8976,5.7743,5.4064,15.7315,5.4247,4.7933,6.4201,9.8882,3.2569,5.6184,6.9728,7.1777,10.2328,8.9305,5.8842,4.9854,6.1564,9.2469,7.1851,8.032,4.4938,9.2907,4.5848,4.2938,5.0889,6.541,5.5295,8.9643,6.3867,4.8172,6.981,7.3492,11.0763,7.4155,7.2243,8.1863
"CSTA",3.7672,6.6071,2.0466,2.3843,5.4436,2.8065,4.2011,1.8851,42.7097,2.6508,3.5661,3.2181,3.2375,1.2603,2.0523,2.5863,8.4302,4.4965,4.6887,0.5416,1.0012,0.8587,2.3016,3.5426,8.4623,23.7812,1.0531,2.3616,6.5484,0.9382,0.6506,2.6167,11.6784,6.8073,0.6904,3.2363,1.9399,3.0081,15.8908,6.2315,4.1535,8.9701,19.3568,2.7736,3.3475,1.3394,6.0606,2.7263,12.638,3.2638,2.2144,2.3188,4.7644,13.9017,10.1257,3.1488,5.3253,5.1927,6.3573,1.1949,1.8876,1.0481,20.5955,3.4811,6.5115,2.3956,1.2474,2.2548,8.6435,0.5273,0.3157,11.9303,1.3999,10.4367,2.9897,6.1046,2.8738,4.7394,6.6419,7.2238,3.0177,4.6717,4.9809,24.389,4.5794,2.5357,7.7217,5.4502,62.5646,1.8349,1.8242,1.1997,0.4515,0.8363,2.7475,2.53,2.8978,1.7525,1.8367,4.6942,7.3325,0.7652,2.8202,3.4038,7.7726,2.4318,3.7687,2.9532,7.4324,6.391,1.2666,1.0629,1.2832,1.3461,5.7305,3.5369,3.6695,1.7991,3.1761,1.6393,1.7202,29.4107,2.1862,18.8342,5.3316,5.6727,20.2111,9.6988,22.3617,2.8103,1.3743,8.9986,8.3425,2.0416,0.2144,1.6695,2.656,0.4509,1.0357,4.779,4.2764,2.8883,0.8409,2.9966,1.7587,4.613,1.9183,5.9706,1.8717,2.5965,4.4753,0.6925,0.477,1.0476,8.3506,3.4386,5.6485,10.2306,3.2658,12.7447,3.0525,7.127,1.9905,5.3061,5.2007
"B4GALT4",19.445,28.6808,10.04,15.6355,17.1538,23.8129,31.1363,19.1303,17.9229,22.46,18.9773,12.107,15.2792,17.5481,12.6237,15.7288,16.1056,52.7926,21.493,7.234,9.1496,5.3713,9.8506,10.7336,14.6194,36.2755,26.8841,7.9632,15.9164,9.958,24.6421,20.5595,14.7621,24.8105,17.9176,11.9394,28.3626,15.3017,17.9282,13.8423,23.5249,16.5637,14.9855,16.5643,10.4698,22.1903,12.9186,17.2979,16.7464,11.624,24.6637,29.7516,24.2683,16.9734,20.0433,25.1046,12.7304,13.773,40.5733,8.2686,10.226,13.363,9.2174,19.5893,15.9441,18.1649,14.5556,13.5716,12.9292,16.6349,18.902,14.8454,21.6305,16.7458,27.9499,24.9491,20.7744,26.2016,26.9584,18.173,41.6123,10.901,18.7776,20.4689,15.6803,23.7566,22.807,19.5292,25.2301,21.9833,14.6872,23.6773,9.9731,26.0664,19.1331,16.4103,3.3697,8.8351,21.0687,27.7455,16.9404,29.0311,20.4136,9.8781,21.942,10.8036,11.3941,17.4833,21.2857,20.5912,14.7313,14.3597,10.3019,14.032,11.5335,18.049,15.2479,22.0134,28.1289,11.6843,28.3894,17.1745,19.3663,19.7094,26.8095,26.1719,29.7365,15.7491,11.2308,19.4028,13.063,15.9727,10.8374,11.3142,12.6971,15.1012,28.5822,8.362,14.4965,14.0699,20.3634,25.4526,32.4766,12.2176,10.1825,16.2315,6.4309,17.1112,11.9314,8.0803,31.0192,10.8561,12.4379,12.9949,33.7211,18.6277,22.0576,34.0267,14.6685,14.1174,18.0203,30.4435,18.6196,23.4737,18.7647
"NAA50",95.322,46.5142,74.9063,83.5434,114.4421,83.9523,85.4456,55.1857,55.0143,44.1029,83.2702,64.0722,75.9548,42.0848,49.8153,65.4852,48.3425,66.3221,104.2226,23.1347,15.5607,25.7195,34.8267,56.6391,62.7941,97.5151,75.2534,62.3582,53.0867,43.5934,86.1436,85.9145,109.8244,48.7165,75.3706,67.6436,88.1415,114.1632,192.7816,32.7972,97.8453,59.1406,96.0489,75.8139,42.6337,61.9793,43.1291,68.4987,46.3328,53.4411,89.5562,64.5643,70.5196,93.7872,77.0313,70.1992,76.1282,43.747,49.2456,24.846,55.1264,42.1055,67.7106,69.4854,58.0996,70.012,63.339,51.6484,67.2714,50.163,32.4607,56.2939,137.0217,76.2639,130.9663,58.8262,141.3926,72.3506,91.1666,43.0663,151.7099,67.1091,71.2106,80.513,49.9208,107.6639,74.0484,85.0316,90.7778,48.532,71.1217,76.9336,24.5879,81.0152,99.855,141.5216,69.5569,30.5856,113.6049,86.9269,125.3931,53.2814,92.9901,49.61,75.9688,18.8329,28.2801,47.4423,56.3711,43.9984,56.2332,74.048,32.9237,89.3416,48.6672,89.917,100.371,139.0801,84.4444,31.9026,112.758,56.5764,82.6688,118.4536,68.2516,68.5856,75.2842,102.3168,54.298,104.3909,88.3818,53.1968,52.565,35.5427,49.8737,100.8062,209.3068,16.7178,81.5841,63.833,67.8788,103.3499,79.3724,75.0566,31.7177,43.608,47.3965,92.5862,95.7076,31.1158,119.4131,62.7378,41.1492,32.7164,38.397,74.4101,76.6663,47.6613,36.2685,135.3873,53.4507,125.4002,75.9276,31.339,87.5145
"KIF18A",8.7824,2.2645,13.3304,7.279,10.422,6.4449,7.4414,14.7407,4.5755,2.4878,8.6984,6.0785,9.0564,2.1988,7.9855,7.6186,0.8838,3.5607,10.3509,1.5013,0.9083,1.9476,2.2713,6.4594,4.7724,9.5351,7.4201,4.7135,4.4464,4.9933,5.1158,14.8311,13.2782,4.25,13.0406,9.4667,14.8082,11.3005,14.8725,3.5977,23.6401,4.5671,11.099,5.4086,3.8469,8.3714,7.2038,8.2103,4.6051,3.3221,9.8894,6.8212,11.3741,14.4806,7.2837,7.856,7.6161,4.4031,4.5533,1.7706,9.0517,5.5293,9.9326,7.806,6.5639,7.2829,4.4108,5.0288,7.8038,4.9748,2.5456,4.4021,22.4377,15.252,5.2812,14.8543,18.2509,7.9012,8.9474,2.9563,24.6918,4.3656,3.5266,7.3929,3.6325,14.319,9.9344,4.9303,8.1265,5.4613,6.8613,5.6096,0.9558,10.5381,13.0516,13.1226,2.3818,6.1994,10.2108,8.4614,16.802,4.0549,5.5559,4.6717,6.96,1.2702,0.8358,4.6886,5.3516,3.2787,3.3196,4.7859,5.4049,6.2158,4.0588,12.7791,9.6227,17.7735,6.3707,3.4426,16.0965,6.172,11.0296,12.7761,8.0156,7.0746,5.6639,10.4131,4.3629,10.0332,6.9095,7.2255,5.1735,5.9271,5.4131,6.5023,8.9177,2.1902,2.9944,3.8246,5.1858,9.748,7.1749,7.3792,6.0529,6.6784,7.3093,16.2657,5.5973,3.6748,10.6544,4.9421,6.0294,3.0818,5.5823,7.7861,9.3752,6.6063,3.6475,17.7745,4.3135,3.9714,6.3718,5.3006,4.9534
"DESI2",56.7467,31.3032,51.7689,88.2122,49.6799,34.0036,66.1204,33.9695,59.8157,31.8983,43.8383,38.2368,40.6702,30.8527,39.7568,30.5649,17.9485,22.5143,57.4987,15.6367,9.1435,14.0203,20.4828,26.2106,26.5834,71.6175,27.8313,25.2268,49.8533,29.1563,27.9091,60.3155,47.1654,40.1201,45.3243,42.6806,47.0217,64.8778,67.216,32.3405,37.1658,39.7885,62.0016,121.9636,42.7763,33.4231,38.6931,60.7668,34.9174,28.0332,48.2423,55.1585,43.8783,41.6371,53.4597,35.3233,38.8086,29.248,31.4518,21.3619,29.8126,29.0382,40.7075,33.6773,35.3762,37.999,34.0967,31.0434,39.7975,12.461,19.5676,25.8708,65.507,46.1625,42.2615,51.8082,59.3623,46.6227,58.1173,25.9561,117.1546,44.3765,38.8475,46.5491,32.9609,56.7775,45.678,50.5085,43.6437,30.895,46.4134,39.254,24.7813,32.9681,47.6164,45.4675,12.79,9.9478,50.7,64.7657,47.6526,34.9188,56.1722,36.133,35.5334,10.0335,16.6524,35.1716,42.4105,27.1932,27.5736,30.6247,34.5973,51.1358,40.3249,66.3924,43.8554,46.36,58.3529,18.9527,66.2786,29.5146,35.8874,43.9054,84.6079,43.4984,39.7122,49.8472,35.792,42.0297,33.6355,59.2801,26.7402,26.2442,46.3032,93.791,47.7581,16.4551,39.0853,62.6282,76.3681,29.8629,48.0391,40.9512,25.1692,33.1923,31.7456,51.236,42.7614,18.9699,67.9339,27.5956,40.682,38.5075,38.6782,37.0059,37.262,68.5108,24.1557,56.0032,34.6965,60.8506,45.304,31.6314,50.8849
"MAPK8IP1",1.3222,2.8553,5.1334,21.6807,4.1077,5.1202,6.7732,10.4744,16.3409,2.6414,4.8191,4.3469,1.7158,2.8772,11.9681,12.6434,6.5841,1.8283,5.9278,6.2388,30.5452,11.0656,7.9945,2.0344,2.8134,10.6433,4.0301,1.6139,2.2195,2.8942,1.5245,12.8226,4.9634,3.6873,8.2746,6.5488,10.423,6.7872,2.969,2.4335,0.7486,8.4703,4.7524,12.5117,9.8042,2.5281,6.8944,7.9404,3.2767,5.4246,12.911,1.3583,1.1628,2.6138,2.5337,1.1857,2.8594,3.4194,1.4808,6.1594,6.0549,9.7777,2.7515,1.2726,17.2642,4.5791,4.1219,5.3564,1.6632,4.365,2.5064,1.3038,12.0507,3.9343,2.8539,7.8359,4.2197,2.1988,20.066,13.3536,2.2895,10.0585,5.7581,11.8269,6.5083,3.8709,6.728,7.2734,2.9162,4.2238,2.5823,1.2433,4.9955,7.2213,1.967,4.3411,0.7254,4.0902,4.8529,4.2933,2.5559,3.3579,4.5626,3.6809,3.39,8.7625,4.2189,2.636,8.2926,9.2254,4.0393,6.3645,10.308,3.3966,3.2537,3.5802,3.1525,6.7136,5.4928,2.7147,6.1224,10.74,1.6242,3.8157,19.4323,4.4893,2.7536,13.2462,6.8269,2.6522,7.3458,2.1407,1.1547,29.459,8.2039,8.1594,15.425,1.3976,1.6988,9.6499,1.8036,12.4072,4.8085,5.7396,1.5371,5.0594,1.5356,17.4473,6.1721,6.1243,3.5883,0.8653,7.525,2.8266,1.6734,6.2944,3.266,13.0277,8.1592,15.0479,8.4743,27.3163,8.1711,1.6984,7.3834
"CRY2",6.4299,17.6429,8.4979,33.8071,10.2712,11.8256,21.2095,16.4947,22.5152,14.2382,13.6771,7.6481,10.2919,10.1241,12.1481,13.1693,16.7162,15.902,11.0535,16.8636,11.6084,9.4593,19.2161,6.7032,12.925,13.8642,9.3037,10.9524,7.731,12.2778,13.2599,21.536,11.3013,12.6466,11.8642,5.6005,24.4804,21.2378,11.2428,11.3402,9.9959,21.0248,12.942,18.7117,13.9578,12.7881,16.2209,15.1166,8.9239,11.5756,16.3386,11.6576,9.6593,11.9678,13.5371,10.3072,9.8752,10.0723,13.0482,11.8995,10.3078,16.1647,8.8604,12.3124,29.4728,9.834,19.2597,14.0132,16.2008,11.8024,11.5447,6.0907,10.0844,20.9476,10.2045,16.2518,11.8783,14.1992,14.5804,17.6975,13.4491,18.4344,18.5339,14.7833,16.532,17.0753,16.6586,16.686,16.492,18.7877,10.073,14.06,18.0712,15.6007,14.1496,14.8137,3.1104,4.8757,11.9163,18.344,22.0535,11.2869,23.5052,8.4992,10.0302,22.3321,9.9638,16.4754,12.6063,21.0207,10.8831,17.1735,9.2284,13.4885,8.2481,10.1612,12.4043,15.7089,14.7524,10.1127,20.3897,10.3093,10.3734,14.2272,32.9802,21.0481,11.0235,21.0069,19.3893,12.1255,15.4424,6.6542,5.5374,12.9996,18.5143,7.7579,16.25,6.3763,10.8257,22.6509,9.4029,18.0729,16.5685,8.7715,7.9524,12.845,8.0723,19.7877,14.8454,19.9536,15.4511,10.8628,14.9856,13.4714,16.4616,11.4115,23.4718,19.1866,14.0717,18.9729,21.8635,21.3873,15.4668,9.1225,23.2593
"PEX16",32.9044,22.182,33.4789,37.7579,37.02,28.4524,31.473,55.4907,35.4418,36.1887,45.2213,31.5565,38.4006,26.757,64.8157,43.0816,79.0849,22.0443,45.9306,60.2796,65.9132,83.9211,43.7933,34.9808,41.9627,37.8421,27.4927,56.1512,33.4869,37.9491,47.7651,57.1369,63.9135,23.329,78.3092,41.4804,57.2661,36.961,41.25,37.8261,34.5509,41.1829,35.5536,28.9938,43.508,21.818,52.5557,39.7821,31.0287,24.2225,51.6126,19.0286,33.4345,55.0797,35.2291,34.1938,51.1024,47.6356,44.7617,79.476,52.9523,52.0085,36.8338,36.8139,84.4071,38.5088,45.4575,62.6577,56.6795,34.067,36.7059,44.393,20.9028,45.4213,36.9746,34.9614,34.6926,34.1089,28.1947,47.1628,19.1155,31.0405,36.6851,59.6057,31.913,39.6979,45.5406,43.8956,69.6537,60.388,42.6627,35.8895,87.2984,33.5943,39.3144,42.3899,49.051,30.0025,35.205,50.975,31.5741,30.5323,68.8347,66.8166,62.07,84.7732,60.9892,38.3684,36.7252,56.9051,46.6105,50.1776,39.6458,29.0595,37.8182,32.4071,60.4836,59.0944,41.0306,48.3628,27.6859,44.7271,40.0014,57.1541,51.9923,37.2744,29.5887,28.1648,30.2003,42.5976,56.4897,23.0253,46.2521,76.2565,63.1439,27.5607,32.5399,15.3134,20.5077,29.5347,20.1425,92.3706,35.5481,49.0697,51.6852,56.1339,38.1464,25.5957,57.0227,70.5365,40.779,53.8912,55.2919,49.0399,50.7595,29.2892,33.1062,61.139,37.6301,40.4564,87.9925,31.7697,43.0324,45.3406,39.8495
"DEPDC7",3.6364,2.4329,10.6746,24.0076,4.1333,2.0425,3.3891,21.2461,25.2664,18.6124,2.1855,6.2409,5.2426,4.4754,5.6959,31.6658,2.4092,3.0763,32.6377,0.8929,0.5674,1.4747,1.2982,3.0493,2.1683,10.3531,3.8632,1.0708,8.4541,6.8446,0.2682,4.6623,5.6472,3.5481,5.7351,2.4254,22.61,10.4429,3.8115,9.0067,1.6242,18.7585,9.4401,5.6374,2.3112,3.6347,7.603,4.4482,2.8608,2.182,18.5738,3.0412,2.6625,7.2006,4.7005,3.2448,5.7163,5.0362,0.6436,0.3448,6.3355,14.7849,0.983,28.1942,4.6146,5.9248,3.7179,8.1322,1.6523,5.1289,4.8141,4.7891,5.9961,6.3907,1.0954,4.5665,4.762,4.458,0.8213,7.5411,7.9251,6.1933,21.1174,6.7255,5.3843,17.2934,22.2612,19.7304,36.8408,13.156,18.1401,6.6379,1.1166,2.7961,14.156,8.1215,0.3063,12.7168,7.8607,8.6052,1.0345,1.9224,6.4102,3.4895,7.8638,0.729,2.4854,4.4778,6.1758,3.1518,4.6551,3.9918,1.8512,9.6778,0.9013,7.2895,5.9421,4.6967,13.7597,25.6388,9.1972,5.0953,21.2314,10.39,3.7464,2.9797,5.7575,5.0765,2.5011,3.7647,7.6475,1.7053,6.7903,9.0885,8.3943,6.4854,8.8144,6.0052,2.2029,3.8917,3.1023,8.3339,8.4673,3.6467,4.7291,5.0975,7.1162,8.5928,2.6145,3.0823,8.2815,6.622,4.7578,5.3782,5.2536,7.2817,12.255,5.2763,23.1596,12.2164,7.1375,3.2641,7.9244,4.7866,6.1906
